assumption_group,assumption_name,low_case,base_case,high_case,unit,notes
Revenue,ARPM,260,300,360,CAD_per_member_per_month,Average across plans
Retention,Monthly logo churn,4.0,2.5,1.8,percent,Lower is better
Margin,Gross margin Y1,44,48,52,percent,COGS inverse
Margin,Gross margin Y2,47.1,52,56,percent,Operational leverage assumed
People,Payroll M1-M6,42000,45000,50000,CAD_per_month,Core team
People,Payroll M7-M12,54000,60000,68000,CAD_per_month,Added capacity
People,Payroll M13-M18,66000,75000,88000,CAD_per_month,Added functions
People,Payroll M19-M24,78000,90000,105000,CAD_per_month,Scale stage
Tools,Software Y1,3500,4000,5500,CAD_per_month,Stack spend
Tools,Software Y2,4500,5500,7000,CAD_per_month,Expanded usage
Operations,Admin Y1,5500,6000,6500,CAD_per_month,Overhead
Operations,Admin Y2,7000,7500,8500,CAD_per_month,Overhead
GTM,Marketing early,8000,12000,15000,CAD_per_month,M1-M6
GTM,Marketing mid,10000,15000,20000,CAD_per_month,M7-M12
GTM,Marketing late,12000,20000,25000,CAD_per_month,M13-M24
Risk,Opening cash,1200000,1200000,1200000,CAD,Common start point
Risk,Debt service assumed,0,0,0,CAD_per_month,No debt in drafts
